,model domain,dataset type,mean_auc,mean_std
0,DR hands,50_dr_hands_bg_upright,0.9949166666666667,0.008550909633223568
1,DR hands,50_dr_hands_bg_inverted,0.8979999999999999,0.047016840954421144
2,DR hands,50_hands_both_bg_upright,0.6659166666666666,0.0913520738072699
3,DR hands,50_hands_both_bg_inverted,0.6913333333333332,0.09152352460190526
4,Both hands,50_dr_hands_bg_upright,0.9887499999999999,0.020389437625071134
5,Both hands,50_dr_hands_bg_inverted,0.8319166666666666,0.0679082816909854
6,Both hands,50_hands_both_bg_upright,0.9717500000000001,0.023023086239685582
7,Both hands,50_hands_both_bg_inverted,0.7138333333333333,0.07143684079116476
