,auc,dcnn_domain,img_domain,orientation,id
112,0.51,faces,100_objects_100_each,upright,faces_23
113,0.548125,faces,100_objects_100_each,upright,faces_24
114,0.5625,faces,100_objects_100_each,upright,faces_25
115,0.669375,faces,100_objects_100_each,upright,faces_26
116,0.641875,faces,100_objects_100_each,upright,faces_27
117,0.606875,faces,100_objects_100_each,upright,faces_28
118,0.47375,faces,100_objects_100_each,upright,faces_29
119,0.5037499999999999,faces,100_objects_100_each,upright,faces_30
120,0.5237499999999999,faces,hands_both_bg_unbalanced,inverted,faces_1
121,0.5487500000000001,faces,hands_both_bg_unbalanced,inverted,faces_2
122,0.5293749999999999,faces,hands_both_bg_unbalanced,inverted,faces_3
123,0.519375,faces,hands_both_bg_unbalanced,inverted,faces_4
124,0.55375,faces,hands_both_bg_unbalanced,inverted,faces_5
125,0.4,faces,hands_both_bg_unbalanced,inverted,faces_6
126,0.375,faces,hands_both_bg_unbalanced,inverted,faces_7
127,0.535625,faces,hands_both_bg_unbalanced,inverted,faces_8
128,0.63,faces,hands_both_bg_unbalanced,inverted,faces_9
129,0.644375,faces,hands_both_bg_unbalanced,inverted,faces_10
130,0.42125,faces,hands_both_bg_unbalanced,inverted,faces_11
131,0.3999999999999999,faces,hands_both_bg_unbalanced,inverted,faces_12
132,0.524375,faces,hands_both_bg_unbalanced,inverted,faces_13
133,0.56375,faces,hands_both_bg_unbalanced,inverted,faces_14
134,0.405,faces,hands_both_bg_unbalanced,inverted,faces_15
135,0.36625,faces,hands_both_bg_unbalanced,inverted,faces_16
136,0.5293749999999999,faces,hands_both_bg_unbalanced,inverted,faces_17
137,0.49375,faces,hands_both_bg_unbalanced,inverted,faces_18
138,0.5643750000000001,faces,hands_both_bg_unbalanced,inverted,faces_19
139,0.399375,faces,hands_both_bg_unbalanced,inverted,faces_20
140,0.56625,faces,hands_both_bg_unbalanced,inverted,faces_21
141,0.6312500000000001,faces,hands_both_bg_unbalanced,inverted,faces_22
142,0.62875,faces,hands_both_bg_unbalanced,inverted,faces_23
143,0.4493749999999999,faces,hands_both_bg_unbalanced,inverted,faces_24
144,0.44625,faces,hands_both_bg_unbalanced,inverted,faces_25
145,0.4999999999999999,faces,hands_both_bg_unbalanced,inverted,faces_26
146,0.50125,faces,hands_both_bg_unbalanced,inverted,faces_27
147,0.48,faces,hands_both_bg_unbalanced,inverted,faces_28
148,0.581875,faces,hands_both_bg_unbalanced,inverted,faces_29
149,0.3799999999999999,faces,hands_both_bg_unbalanced,inverted,faces_30
150,0.519375,faces,hands_both_bg_unbalanced,upright,faces_1
151,0.456875,faces,hands_both_bg_unbalanced,upright,faces_2
152,0.5481250000000001,faces,hands_both_bg_unbalanced,upright,faces_3
153,0.47,faces,hands_both_bg_unbalanced,upright,faces_4
154,0.530625,faces,hands_both_bg_unbalanced,upright,faces_5
155,0.51375,faces,hands_both_bg_unbalanced,upright,faces_6
156,0.55875,faces,hands_both_bg_unbalanced,upright,faces_7
157,0.60125,faces,hands_both_bg_unbalanced,upright,faces_8
158,0.524375,faces,hands_both_bg_unbalanced,upright,faces_9
159,0.6025,faces,hands_both_bg_unbalanced,upright,faces_10
160,0.59375,faces,hands_both_bg_unbalanced,upright,faces_11
161,0.41375,faces,hands_both_bg_unbalanced,upright,faces_12
162,0.459375,faces,hands_both_bg_unbalanced,upright,faces_13
163,0.519375,faces,hands_both_bg_unbalanced,upright,faces_14
164,0.540625,faces,hands_both_bg_unbalanced,upright,faces_15
165,0.439375,faces,hands_both_bg_unbalanced,upright,faces_16
166,0.366875,faces,hands_both_bg_unbalanced,upright,faces_17
167,0.61,faces,hands_both_bg_unbalanced,upright,faces_18
168,0.579375,faces,hands_both_bg_unbalanced,upright,faces_19
169,0.55125,faces,hands_both_bg_unbalanced,upright,faces_20
170,0.4893749999999999,faces,hands_both_bg_unbalanced,upright,faces_21
171,0.3974999999999999,faces,hands_both_bg_unbalanced,upright,faces_22
172,0.46375,faces,hands_both_bg_unbalanced,upright,faces_23
173,0.5562499999999999,faces,hands_both_bg_unbalanced,upright,faces_24
174,0.550625,faces,hands_both_bg_unbalanced,upright,faces_25
175,0.4787499999999999,faces,hands_both_bg_unbalanced,upright,faces_26
176,0.5675,faces,hands_both_bg_unbalanced,upright,faces_27
177,0.568125,faces,hands_both_bg_unbalanced,upright,faces_28
178,0.484375,faces,hands_both_bg_unbalanced,upright,faces_29
179,0.398125,faces,hands_both_bg_unbalanced,upright,faces_30
180,0.490625,hands_both,100_faces_100_each,inverted,hands_both_1
181,0.561875,hands_both,100_faces_100_each,inverted,hands_both_2
182,0.424375,hands_both,100_faces_100_each,inverted,hands_both_3
183,0.42625,hands_both,100_faces_100_each,inverted,hands_both_4
184,0.525625,hands_both,100_faces_100_each,inverted,hands_both_5
185,0.534375,hands_both,100_faces_100_each,inverted,hands_both_6
186,0.480625,hands_both,100_faces_100_each,inverted,hands_both_7
187,0.460625,hands_both,100_faces_100_each,inverted,hands_both_8
188,0.5225,hands_both,100_faces_100_each,inverted,hands_both_9
189,0.56125,hands_both,100_faces_100_each,inverted,hands_both_10
190,0.4724999999999999,hands_both,100_faces_100_each,inverted,hands_both_11
191,0.5606249999999999,hands_both,100_faces_100_each,inverted,hands_both_12
192,0.583125,hands_both,100_faces_100_each,inverted,hands_both_13
193,0.429375,hands_both,100_faces_100_each,inverted,hands_both_14
194,0.4762499999999999,hands_both,100_faces_100_each,inverted,hands_both_15
195,0.575625,hands_both,100_faces_100_each,inverted,hands_both_16
196,0.5493750000000001,hands_both,100_faces_100_each,inverted,hands_both_17
197,0.569375,hands_both,100_faces_100_each,inverted,hands_both_18
198,0.573125,hands_both,100_faces_100_each,inverted,hands_both_19
199,0.5487500000000001,hands_both,100_faces_100_each,inverted,hands_both_20
200,0.4,hands_both,100_faces_100_each,inverted,hands_both_21
201,0.5250000000000001,hands_both,100_faces_100_each,inverted,hands_both_22
202,0.5850000000000001,hands_both,100_faces_100_each,inverted,hands_both_23
203,0.436875,hands_both,100_faces_100_each,inverted,hands_both_24
204,0.555,hands_both,100_faces_100_each,inverted,hands_both_25
205,0.515625,hands_both,100_faces_100_each,inverted,hands_both_26
206,0.57125,hands_both,100_faces_100_each,inverted,hands_both_27
207,0.5787500000000001,hands_both,100_faces_100_each,inverted,hands_both_28
208,0.519375,hands_both,100_faces_100_each,inverted,hands_both_29
209,0.6106250000000001,hands_both,100_faces_100_each,inverted,hands_both_30
210,0.51625,hands_both,100_faces_100_each,upright,hands_both_1
211,0.459375,hands_both,100_faces_100_each,upright,hands_both_2
212,0.50125,hands_both,100_faces_100_each,upright,hands_both_3
213,0.5325,hands_both,100_faces_100_each,upright,hands_both_4
214,0.473125,hands_both,100_faces_100_each,upright,hands_both_5
215,0.583125,hands_both,100_faces_100_each,upright,hands_both_6
216,0.608125,hands_both,100_faces_100_each,upright,hands_both_7
217,0.60875,hands_both,100_faces_100_each,upright,hands_both_8
218,0.644375,hands_both,100_faces_100_each,upright,hands_both_9
219,0.545,hands_both,100_faces_100_each,upright,hands_both_10
220,0.4774999999999999,hands_both,100_faces_100_each,upright,hands_both_11
221,0.6493749999999999,hands_both,100_faces_100_each,upright,hands_both_12
222,0.479375,hands_both,100_faces_100_each,upright,hands_both_13
223,0.62,hands_both,100_faces_100_each,upright,hands_both_14
224,0.4875,hands_both,100_faces_100_each,upright,hands_both_15
225,0.530625,hands_both,100_faces_100_each,upright,hands_both_16
226,0.389375,hands_both,100_faces_100_each,upright,hands_both_17
227,0.48625,hands_both,100_faces_100_each,upright,hands_both_18
228,0.661875,hands_both,100_faces_100_each,upright,hands_both_19
229,0.4025,hands_both,100_faces_100_each,upright,hands_both_20
230,0.489375,hands_both,100_faces_100_each,upright,hands_both_21
231,0.57875,hands_both,100_faces_100_each,upright,hands_both_22
232,0.503125,hands_both,100_faces_100_each,upright,hands_both_23
233,0.45875,hands_both,100_faces_100_each,upright,hands_both_24
234,0.54125,hands_both,100_faces_100_each,upright,hands_both_25
235,0.4243749999999999,hands_both,100_faces_100_each,upright,hands_both_26
236,0.5931250000000001,hands_both,100_faces_100_each,upright,hands_both_27
237,0.50125,hands_both,100_faces_100_each,upright,hands_both_28
238,0.58125,hands_both,100_faces_100_each,upright,hands_both_29
239,0.40375,hands_both,100_faces_100_each,upright,hands_both_30
240,0.5,hands_both,100_objects_100_each,inverted,hands_both_1
241,0.535625,hands_both,100_objects_100_each,inverted,hands_both_2
242,0.524375,hands_both,100_objects_100_each,inverted,hands_both_3
243,0.56125,hands_both,100_objects_100_each,inverted,hands_both_4
244,0.6025,hands_both,100_objects_100_each,inverted,hands_both_5
245,0.661875,hands_both,100_objects_100_each,inverted,hands_both_6
246,0.5875,hands_both,100_objects_100_each,inverted,hands_both_7
247,0.67625,hands_both,100_objects_100_each,inverted,hands_both_8
248,0.60875,hands_both,100_objects_100_each,inverted,hands_both_9
249,0.49875,hands_both,100_objects_100_each,inverted,hands_both_10
250,0.5125000000000001,hands_both,100_objects_100_each,inverted,hands_both_11
251,0.565625,hands_both,100_objects_100_each,inverted,hands_both_12
252,0.5093749999999999,hands_both,100_objects_100_each,inverted,hands_both_13
253,0.581875,hands_both,100_objects_100_each,inverted,hands_both_14
254,0.533125,hands_both,100_objects_100_each,inverted,hands_both_15
255,0.6275000000000001,hands_both,100_objects_100_each,inverted,hands_both_16
256,0.55,hands_both,100_objects_100_each,inverted,hands_both_17
257,0.411875,hands_both,100_objects_100_each,inverted,hands_both_18
258,0.516875,hands_both,100_objects_100_each,inverted,hands_both_19
259,0.548125,hands_both,100_objects_100_each,inverted,hands_both_20
260,0.6037500000000001,hands_both,100_objects_100_each,inverted,hands_both_21
261,0.5606249999999999,hands_both,100_objects_100_each,inverted,hands_both_22
262,0.435,hands_both,100_objects_100_each,inverted,hands_both_23
263,0.6150000000000001,hands_both,100_objects_100_each,inverted,hands_both_24
264,0.5725,hands_both,100_objects_100_each,inverted,hands_both_25
265,0.4268749999999999,hands_both,100_objects_100_each,inverted,hands_both_26
266,0.5706249999999999,hands_both,100_objects_100_each,inverted,hands_both_27
267,0.446875,hands_both,100_objects_100_each,inverted,hands_both_28
268,0.59375,hands_both,100_objects_100_each,inverted,hands_both_29
269,0.56125,hands_both,100_objects_100_each,inverted,hands_both_30
270,0.5981249999999999,hands_both,100_objects_100_each,upright,hands_both_1
271,0.51375,hands_both,100_objects_100_each,upright,hands_both_2
272,0.54,hands_both,100_objects_100_each,upright,hands_both_3
273,0.5875,hands_both,100_objects_100_each,upright,hands_both_4
274,0.4625,hands_both,100_objects_100_each,upright,hands_both_5
275,0.560625,hands_both,100_objects_100_each,upright,hands_both_6
276,0.64375,hands_both,100_objects_100_each,upright,hands_both_7
277,0.519375,hands_both,100_objects_100_each,upright,hands_both_8
278,0.5768749999999999,hands_both,100_objects_100_each,upright,hands_both_9
279,0.498125,hands_both,100_objects_100_each,upright,hands_both_10
280,0.5375,hands_both,100_objects_100_each,upright,hands_both_11
281,0.5249999999999999,hands_both,100_objects_100_each,upright,hands_both_12
282,0.4393749999999999,hands_both,100_objects_100_each,upright,hands_both_13
283,0.6525,hands_both,100_objects_100_each,upright,hands_both_14
284,0.5625,hands_both,100_objects_100_each,upright,hands_both_15
285,0.576875,hands_both,100_objects_100_each,upright,hands_both_16
286,0.5700000000000001,hands_both,100_objects_100_each,upright,hands_both_17
287,0.539375,hands_both,100_objects_100_each,upright,hands_both_18
288,0.499375,hands_both,100_objects_100_each,upright,hands_both_19
289,0.5843750000000001,hands_both,100_objects_100_each,upright,hands_both_20
290,0.566875,hands_both,100_objects_100_each,upright,hands_both_21
291,0.4825,hands_both,100_objects_100_each,upright,hands_both_22
292,0.45375,hands_both,100_objects_100_each,upright,hands_both_23
293,0.5087499999999999,hands_both,100_objects_100_each,upright,hands_both_24
294,0.5125,hands_both,100_objects_100_each,upright,hands_both_25
295,0.4743749999999999,hands_both,100_objects_100_each,upright,hands_both_26
296,0.5875,hands_both,100_objects_100_each,upright,hands_both_27
297,0.686875,hands_both,100_objects_100_each,upright,hands_both_28
298,0.65625,hands_both,100_objects_100_each,upright,hands_both_29
299,0.485625,hands_both,100_objects_100_each,upright,hands_both_30
300,0.74375,hands_both,hands_both_bg_unbalanced,inverted,hands_both_1
301,0.7043750000000001,hands_both,hands_both_bg_unbalanced,inverted,hands_both_2
302,0.75625,hands_both,hands_both_bg_unbalanced,inverted,hands_both_3
303,0.568125,hands_both,hands_both_bg_unbalanced,inverted,hands_both_4
304,0.655625,hands_both,hands_both_bg_unbalanced,inverted,hands_both_5
305,0.6212500000000001,hands_both,hands_both_bg_unbalanced,inverted,hands_both_6
306,0.8049999999999999,hands_both,hands_both_bg_unbalanced,inverted,hands_both_7
307,0.7124999999999999,hands_both,hands_both_bg_unbalanced,inverted,hands_both_8
308,0.69,hands_both,hands_both_bg_unbalanced,inverted,hands_both_9
309,0.65125,hands_both,hands_both_bg_unbalanced,inverted,hands_both_10
310,0.72875,hands_both,hands_both_bg_unbalanced,inverted,hands_both_11
311,0.7475,hands_both,hands_both_bg_unbalanced,inverted,hands_both_12
312,0.755,hands_both,hands_both_bg_unbalanced,inverted,hands_both_13
313,0.72875,hands_both,hands_both_bg_unbalanced,inverted,hands_both_14
314,0.6693749999999999,hands_both,hands_both_bg_unbalanced,inverted,hands_both_15
315,0.78,hands_both,hands_both_bg_unbalanced,inverted,hands_both_16
316,0.654375,hands_both,hands_both_bg_unbalanced,inverted,hands_both_17
317,0.71,hands_both,hands_both_bg_unbalanced,inverted,hands_both_18
318,0.73375,hands_both,hands_both_bg_unbalanced,inverted,hands_both_19
319,0.656875,hands_both,hands_both_bg_unbalanced,inverted,hands_both_20
320,0.7893749999999999,hands_both,hands_both_bg_unbalanced,inverted,hands_both_21
321,0.7575000000000001,hands_both,hands_both_bg_unbalanced,inverted,hands_both_22
322,0.6987500000000001,hands_both,hands_both_bg_unbalanced,inverted,hands_both_23
323,0.550625,hands_both,hands_both_bg_unbalanced,inverted,hands_both_24
324,0.6749999999999999,hands_both,hands_both_bg_unbalanced,inverted,hands_both_25
325,0.749375,hands_both,hands_both_bg_unbalanced,inverted,hands_both_26
326,0.66,hands_both,hands_both_bg_unbalanced,inverted,hands_both_27
327,0.7312500000000001,hands_both,hands_both_bg_unbalanced,inverted,hands_both_28
328,0.76625,hands_both,hands_both_bg_unbalanced,inverted,hands_both_29
329,0.788125,hands_both,hands_both_bg_unbalanced,inverted,hands_both_30
330,0.995625,hands_both,hands_both_bg_unbalanced,upright,hands_both_1
331,0.995,hands_both,hands_both_bg_unbalanced,upright,hands_both_2
332,0.98625,hands_both,hands_both_bg_unbalanced,upright,hands_both_3
333,0.99,hands_both,hands_both_bg_unbalanced,upright,hands_both_4
334,0.985,hands_both,hands_both_bg_unbalanced,upright,hands_both_5
335,0.97625,hands_both,hands_both_bg_unbalanced,upright,hands_both_6
336,0.988125,hands_both,hands_both_bg_unbalanced,upright,hands_both_7
